"Group.1"	"Group.2"	"Group.3"	"Group.4"	"Species"	"spp"	"Wing.length.1"	"Wing.length.2"	"Country"	"Location"	"Altitude"	"hemisphere"	"Latitude"	"Latitude_cor"	"Longitude"	"Geological.age"	"Origin"	"Period"	"wl"	"dup"	"Lat1_cor"	"Lat_un"
"64"	""	""	""	"Rheocricotopus"	" Rheocricotopus capensis"	" Rheocricotopus capensis (Freeman, 1953)"	1203	1189	"Central-Zaire, Africa"	"Kisangani, Simisimi-Bach"	"410"	"N"	"0.513"	0.513	25.13906436	"rec"	"ZSM"	"recent"	1203	" Rheocricotopus capensis (Freeman, 1953) 1203 1189"	0.513	0.513
"65"	"Chironomidae"	"Orthocladiinae"	""	"Nanocladius"	""	"Nanocladius acutus"	800	NA	"Zaire"	""	""	"N"	"0.52"	0.52	25.13906436	"rec"	"Harrison, 1994"	"recent"	800	"Nanocladius acutus 800 NA"	0.52	0.52
"66"	"Chironomidae"	"Chironominae"	""	"Neostempellina"	"abnormis"	"Neostempellina abnormis"	655.9	NA	"Kongo"	"Kisangani"	"413"	"N"	"0.52"	0.52	25.13906436	"rec"	"ZSM"	"recent"	655.9	"Neostempellina abnormis 655.9 NA"	0.52	0.52
"67"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Neostempellina"	"abnormis"	"Neostempellina abnormis"	656	NA	"Kongo"	"Kisangani"	"413"	"N"	"0.52"	0.52	25.21	"rec"	"ZSM"	"recent"	656	"Neostempellina abnormis 656 NA"	0.52	0.52
"68"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Stempellina"	"reissi"	"Stempellina reissi"	723	NA	"Kongo"	"Kisangani"	"413"	"N"	"0.52"	0.52	25.21	"rec"	"ZSM"	"recent"	723	"Stempellina reissi 723 NA"	0.52	0.52
"69"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Cladotanytarsus"	"crebrus"	"Cladotanytarsus crebrus"	960	1050	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	960	"Cladotanytarsus crebrus 960 1050"	0.52	0.52
"70"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Cladotanytarsus"	"crebrus"	"Cladotanytarsus crebrus"	980	1090	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	980	"Cladotanytarsus crebrus 980 1090"	0.52	0.52
"71"	"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Cricotopus"	"hirvenojae"	"Cricotopus hirvenojae"	1020	1120	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	1020	"Cricotopus hirvenojae 1020 1120"	0.52	0.52
"72"	"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Cricotopus"	"hirvenojae"	"Cricotopus hirvenojae"	1150	1250	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	1150	"Cricotopus hirvenojae 1150 1250"	0.52	0.52
"73"	"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Cricotopus"	"hirvenojae"	"Cricotopus hirvenojae"	1190	1290	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	1190	"Cricotopus hirvenojae 1190 1290"	0.52	0.52
"74"	"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Cricotopus"	"kisantuensis"	"Cricotopus kisantuensis"	1370	1460	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	1370	"Cricotopus kisantuensis 1370 1460"	0.52	0.52
"75"	"Chironomidae"	"Tanypodinae"	"Pentaneurini"	"Ablabesmyia"	"ebbae"	"Ablabesmyia ebbae"	1660	1660	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	1660	"Ablabesmyia ebbae 1660 1660"	0.52	0.52
"76"	"Chironomidae"	"Tanypodinae"	"Pentaneurini"	"Ablabesmyia"	"ebbae"	"Ablabesmyia ebbae"	1720	1720	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	1720	"Ablabesmyia ebbae 1720 1720"	0.52	0.52
"77"	"Chironomidae"	"Tanypodinae"	"Pentaneurini"	"Ablabesmyia"	"appendiculata"	"Ablabesmyia appendiculata"	2010	2210	" Kongo"	"Kisangani"	"447"	"N"	"0.52"	0.52	25.24	"rec"	"ZSM"	"recent"	2010	"Ablabesmyia appendiculata 2010 2210"	0.52	0.52
"78"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Cladotanytarsus"	"crebrus"	"Cladotanytarsus crebrus"	1200	1200	" Kongo"	"Irangi"	"447"	"N"	"0.53"	0.53	28.43	"rec"	"ZSM"	"recent"	1200	"Cladotanytarsus crebrus 1200 1200"	0.53	0.53
"79"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Cladotanytarsus"	"crebrus"	"Cladotanytarsus crebrus"	910	1000	" Kenya"	"Samburu Reserve"	"800"	"N"	"0.61"	0.61	36.94	"rec"	"ZSM"	"recent"	910	"Cladotanytarsus crebrus 910 1000"	0.61	0.61
